,t,v
0,0,-1
1,0.04004004,-0.995995996
2,0.08008008,-0.991991992
3,0.12012012,-0.987987988
4,0.16016016,-0.983983984
5,0.2002002,-0.97997998
6,0.24024024,-0.975975976
7,0.28028028,-0.971971972
8,0.32032032,-0.967967968
9,0.36036036,-0.963963964
10,0.4004004,-0.95995996
11,0.44044044,-0.955955956
12,0.48048048,-0.951951952
13,0.520520521,-0.947947948
14,0.560560561,-0.943943944
15,0.600600601,-0.93993994
16,0.640640641,-0.935935936
17,0.680680681,-0.931931932
18,0.720720721,-0.927927928
19,0.760760761,-0.923923924
20,0.800800801,-0.91991992
21,0.840840841,-0.915915916
22,0.880880881,-0.911911912
23,0.920920921,-0.907907908
24,0.960960961,-0.903903904
25,1.001001001,-0.8998999
26,1.041041041,-0.895895896
27,1.081081081,-0.891891892
28,1.121121121,-0.887887888
29,1.161161161,-0.883883884
30,1.201201201,-0.87987988
31,1.241241241,-0.875875876
32,1.281281281,-0.871871872
33,1.321321321,-0.867867868
34,1.361361361,-0.863863864
35,1.401401401,-0.85985986
36,1.441441441,-0.855855856
37,1.481481481,-0.851851852
38,1.521521522,-0.847847848
39,1.561561562,-0.843843844
40,1.601601602,-0.83983984
41,1.641641642,-0.835835836
42,1.681681682,-0.831831832
43,1.721721722,-0.827827828
44,1.761761762,-0.823823824
45,1.801801802,-0.81981982
46,1.841841842,-0.815815816
47,1.881881882,-0.811811812
48,1.921921922,-0.807807808
49,1.961961962,-0.803803804
50,2.002002002,-0.7997998
51,2.042042042,-0.795795796
52,2.082082082,-0.791791792
53,2.122122122,-0.787787788
54,2.162162162,-0.783783784
55,2.202202202,-0.77977978
56,2.242242242,-0.775775776
57,2.282282282,-0.771771772
58,2.322322322,-0.767767768
59,2.362362362,-0.763763764
60,2.402402402,-0.75975976
61,2.442442442,-0.755755756
62,2.482482482,-0.751751752
63,2.522522523,-0.747747748
64,2.562562563,-0.743743744
65,2.602602603,-0.73973974
66,2.642642643,-0.735735736
67,2.682682683,-0.731731732
68,2.722722723,-0.727727728
69,2.762762763,-0.723723724
70,2.802802803,-0.71971972
71,2.842842843,-0.715715716
72,2.882882883,-0.711711712
73,2.922922923,-0.707707708
74,2.962962963,-0.703703704
75,3.003003003,-0.6996997
76,3.043043043,-0.695695696
77,3.083083083,-0.691691692
78,3.123123123,-0.687687688
79,3.163163163,-0.683683684
80,3.203203203,-0.67967968
81,3.243243243,-0.675675676
82,3.283283283,-0.671671672
83,3.323323323,-0.667667668
84,3.363363363,-0.663663664
85,3.403403403,-0.65965966
86,3.443443443,-0.655655656
87,3.483483483,-0.651651652
88,3.523523524,-0.647647648
89,3.563563564,-0.643643644
90,3.603603604,-0.63963964
91,3.643643644,-0.635635636
92,3.683683684,-0.631631632
93,3.723723724,-0.627627628
94,3.763763764,-0.623623624
95,3.803803804,-0.61961962
96,3.843843844,-0.615615616
97,3.883883884,-0.611611612
98,3.923923924,-0.607607608
99,3.963963964,-0.603603604
100,4.004004004,-0.5995996
101,4.044044044,-0.595595596
102,4.084084084,-0.591591592
103,4.124124124,-0.587587588
104,4.164164164,-0.583583584
105,4.204204204,-0.57957958
106,4.244244244,-0.575575576
107,4.284284284,-0.571571572
108,4.324324324,-0.567567568
109,4.364364364,-0.563563564
110,4.404404404,-0.55955956
111,4.444444444,-0.555555556
112,4.484484484,-0.551551552
113,4.524524525,-0.547547548
114,4.564564565,-0.543543544
115,4.604604605,-0.53953954
116,4.644644645,-0.535535536
117,4.684684685,-0.531531532
118,4.724724725,-0.527527528
119,4.764764765,-0.523523524
120,4.804804805,-0.51951952
121,4.844844845,-0.515515516
122,4.884884885,-0.511511512
123,4.924924925,-0.507507508
124,4.964964965,-0.503503504
125,5.005005005,-0.499499499
126,5.045045045,-0.495495495
127,5.085085085,-0.491491491
128,5.125125125,-0.487487487
129,5.165165165,-0.483483483
130,5.205205205,-0.479479479
131,5.245245245,-0.475475475
132,5.285285285,-0.471471471
133,5.325325325,-0.467467467
134,5.365365365,-0.463463463
135,5.405405405,-0.459459459
136,5.445445445,-0.455455455
137,5.485485485,-0.451451451
138,5.525525526,-0.447447447
139,5.565565566,-0.443443443
140,5.605605606,-0.439439439
141,5.645645646,-0.435435435
142,5.685685686,-0.431431431
143,5.725725726,-0.427427427
144,5.765765766,-0.423423423
145,5.805805806,-0.419419419
146,5.845845846,-0.415415415
147,5.885885886,-0.411411411
148,5.925925926,-0.407407407
149,5.965965966,-0.403403403
150,6.006006006,-0.399399399
151,6.046046046,-0.395395395
152,6.086086086,-0.391391391
153,6.126126126,-0.387387387
